"","black_PAIR","native_american_PAIR","asian_PAIR","pacific_islander_PAIR","ID","black_PAAD","native_american_PAAD","asian_PAAD","pacific_islander_PAAD","Year","State","black_CAP","asian_CAP","pacific_islander_CAP","native_american_CAP","black_per_pop","asian_per_pop","pacific_islander_per_pop","native_american","black_PAIMI","native_american_PAIMI","asian_PAIMI","pacific_islander_PAIMI"
"89",0.02899,0,0,0,"Oregon, 2016",0.04673,0,0.00935,0,2016,"Oregon",0.0833,0,0,0.01667,0.0189,0.0447,0.0039,0.0112,0.07143,0.03571,0.01786,0.03571
"90",0.21016,0,0.00924,0,"Pennsylvania, 2016",0.14907,0.00828,0.00207,0,2016,"Pennsylvania",0.2154,0.0051,0,0,0.1079,0.0341,3e-04,0.0014,0.27875,0.00697,0,0.00697
"91",0.03311,0,0.01987,0,"Rhode Island, 2016",0.04717,0.00472,0.00943,0,2016,"Rhode Island",0.0185,0.0185,0,0,0.0585,0.0346,6e-04,0.0043,0.05556,0.00427,0.00855,0.00427
"92",0.40351,0,0.01754,0,"South Carolina, 2016",0.27358,0,0,0,2016,"South Carolina",0.45,0,0,0,0.2697,0.0159,6e-04,0.0037,0.48058,0.00485,0,0.00485
"93",0.01111,0.15556,0.01111,0.01111,"South Dakota, 2016",0,0.17476,0.00971,0,2016,"South Dakota",0.05,0.05,0,0.3,0.0197,0.0145,5e-04,0.084,0.01724,0.15517,0,0.15517
"94",0.23853,0,0.01835,0,"Tennessee, 2016",0.248,0,0,0,2016,"Tennessee",0.338,0,0,0,0.1678,0.0174,5e-04,0.0027,0.34831,0,0,0
"95",0.19003,0.0027,0.00674,0,"Texas, 2016",0.14455,0.00324,0.02157,0.00216,2016,"Texas",0.2473,0.0218,0,0.01091,0.1183,0.0472,8e-04,0.0032,0.35262,0.00689,0.00551,0.00689
"96",0.01575,0.00787,0.00787,0.00394,"Utah, 2016",0.01333,0.00889,0.00444,0.00444,2016,"Utah",0,0,0.0097,0.00971,0.0107,0.0235,0.0094,0.0095,0.04545,0.01136,0.01136,0.01136
"97",0.0625,0,0,0,"Vermont, 2016",0.02198,0.01465,0.00366,0.00733,2016,"Vermont",0.0698,0,0,0,0.0121,0.0175,3e-04,0.0032,0.02128,0,0,0
"98",0.33077,0.00769,0.01538,0,"Virginia, 2016",0.24725,0,0.00549,0,2016,"Virginia",0.5102,0.0102,0,0,0.1908,0.0647,7e-04,0.0026,0.32353,0,0.0098,0
"99",0.07979,0.02926,0.02128,0.00798,"Washington, 2016",0.06173,0,0.02469,0,2016,"Washington",0.2163,0.0577,0.024,0.0625,0.038,0.0851,0.0067,0.0129,0.20789,0.02509,0.01792,0.02509
